Data,bid,ask,price,usd/brl,
1479491630780756, 1.05895, 1.0591, 1.059025, 3.3835, 
1479491635310503, 1.05882, 1.05897, 1.0588950000000001, 3.3835, 
1479491638669081, 1.05885,1059, 1.058925, 3.3835, 
1479491641665131, 1.05892, 1.05906, 1.05899, 3.3835, 
1479491644508513, 1.05887, 1.05903, 1.0589499999999998, 3.3835, 
1479491647399860, 1.0589, 1.05905, 1.058975, 3.3835, 
1479491671563711, 1.05884, 1.05897, 1.058905, 3.3835, 
1479491672414466, 1.05881, 1.05893, 1.05887, 3.3835, 
1479491691161689, 1.05881, 1.05898, 1.0588950000000001, 3.3835, 
1479491705794529, 1.05872, 1.05886, 1.0587900000000001,3389, 
1479491709466802, 1.05872, 1.05887, 1.058795,3389, 
1479491710289856, 1.05842, 1.05868, 1.0585499999999999,3389, 
1479491714514618, 1.0585, 1.05865, 1.058575,3389, 
1479491723410184, 1.05853, 1.05866, 1.058595,3389, 
1479491733611549, 1.05849, 1.05863, 1.05856,3389, 
1479491737215141, 1.0585, 1.05863, 1.058565,3389, 
1479491737622056, 1.05853, 1.05866, 1.058595,3389, 
1479491743820844, 1.0585, 1.05867, 1.0585849999999999,3389, 
1479491746589977, 1.05844, 1.05867, 1.0585550000000001,3389, 
1479491748247102, 1.05851, 1.05864, 1.058575,3389, 
1479491751709970, 1.05846, 1.05864, 1.0585499999999999,3389, 
1479491753396308, 1.0585, 1.05864, 1.05857,3389, 
1479491758624015, 1.0585, 1.05864, 1.05857,3389, 
1479491761025413, 1.05841, 1.05855, 1.05848,3389, 
1479491762057434, 1.05838, 1.05853, 1.058455,3389, 
1479491763928985, 1.0584, 1.05857, 1.0584850000000001,3389, 
1479491766956320, 1.05844, 1.0586, 1.0585200000000001,3389, 
1479491771321441, 1.05839, 1.05854, 1.058465,3389, 
1479491776890219, 1.05845, 1.05861, 1.05853,3389, 
1479491779683236, 1.05845, 1.05856, 1.0585049999999998,3389, 
1479491782083441, 1.05849, 1.05862, 1.058555,3389, 
1479491784932720, 1.05846, 1.05859, 1.058525,3389, 
1479491785020771, 1.05843, 1.05857, 1.0585,3389, 
1479491789856203, 1.05847, 1.05861, 1.05854,3389, 
1479491796272517, 1.05849, 1.05862, 1.058555,3389, 
1479491814230655, 1.05846, 1.0586, 1.05853,3389, 
1479491815283850, 1.05843, 1.05858, 1.058505,3389, 
1479491825629630, 1.05841, 1.05855, 1.05848,3389, 
1479491832918307, 1.05841, 1.05854, 1.058475,3389, 
1479491838397893, 1.05828, 1.05847, 1.058375,3389, 
1479491841531151, 1.05828, 1.05841, 1.058345,3389, 
1479491844347022, 1.05833, 1.05848, 1.058405,3389, 
1479491846450398, 1.05838, 1.0585, 1.05844,3389, 
1479491855020285, 1.05842, 1.05858, 1.0585,3389, 
1479491857608297, 1.05847, 1.05859, 1.05853,3389, 
1479491859368056, 1.0585, 1.05863, 1.058565,3389, 
1479491869103065, 1.05852, 1.05866, 1.05859,3389, 
1479491872270656, 1.05849, 1.05862, 1.058555,3389, 
1479491876934164, 1.05842, 1.05854, 1.0584799999999999,3389, 
1479491879857671, 1.05837, 1.05852, 1.0584449999999999,3389, 
1479491882080352, 1.05838, 1.05851, 1.058445,3389, 
1479491891858797, 1.05841, 1.05855, 1.05848,3389, 
1479491898814140, 1.05845, 1.05861, 1.05853,3389, 
1479491900689668, 1.05848, 1.05863, 1.0585550000000001,3389, 
1479491905010904, 1.05855, 1.05868, 1.058615,3389, 
1479491905571181, 1.05857, 1.05871, 1.05864,3389, 
1479491909296482, 1.05863, 1.05879, 1.05871,3389, 
1479491914357810, 1.0587, 1.05886, 1.05878,3389, 
1479491919434215, 1.0587, 1.05884, 1.05877,3389, 
1479491919471600, 1.05867, 1.05881, 1.05874,3389, 
1479491928342249, 1.05869, 1.05881, 1.0587499999999999,3389, 
1479491930530139, 1.05869, 1.05882, 1.0587550000000001,3389, 
1479491931304949, 1.05868, 1.0588, 1.05874,3389, 
1479491936987239, 1.05862, 1.05877, 1.058695,3389, 
1479491941675691, 1.05867, 1.05879, 1.05873,3389, 
1479491946926534, 1.05868, 1.05882, 1.05875,3389, 
1479491953808413, 1.05866, 1.05877, 1.0587149999999999,3389, 
1479491959003025, 1.05865, 1.05878, 1.058715,3389, 
1479491960990814, 1.05855, 1.05869, 1.05862,3389, 
1479491965335395, 1.05844, 1.05859, 1.0585149999999999,3389, 
1479491966560110, 1.05848, 1.05864, 1.05856,3389, 
1479491970888290, 1.05845, 1.05861, 1.05853,3389, 
1479491972027224, 1.05848, 1.05859, 1.058535,3389, 
1479491975626108, 1.05853, 1.05867, 1.0586,3389, 
1479491977134701, 1.05857, 1.05873, 1.05865,3389, 
1479491978490327, 1.05861, 1.05876, 1.058685,3389, 
1479491980629308, 1.05864, 1.0588, 1.05872,3389, 
1479491989320916, 1.05868, 1.05881, 1.058745,3389, 
1479491991711181, 1.05864, 1.05879, 1.0587149999999999,3389, 
1479491996429216, 1.05858, 1.05873, 1.058655,3389, 
1479491999498680, 1.05856, 1.0587, 1.05863,3389, 
1479492001322332, 1.05856, 1.05871, 1.058635,3389, 
1479492003975564, 1.05848, 1.05863, 1.0585550000000001,3389, 
1479492006428843, 1.0585, 1.05864, 1.05857,3389, 
1479492009154796, 1.05839, 1.05853, 1.05846,3389, 
1479492011866679, 1.0584, 1.05855, 1.058475,3389, 
1479492015902601, 1.0584, 1.05854, 1.05847,3389, 
1479492023835628, 1.05847, 1.0586, 1.058535,3389, 
1479492025319158, 1.05848, 1.05863, 1.0585550000000001,3389, 
1479492027148061, 1.05855, 1.05869, 1.05862,3389, 
1479492032818604, 1.05858, 1.05872, 1.05865,3389, 
1479492034535941, 1.05852, 1.05867, 1.058595,3389, 
1479492039657106, 1.0585, 1.05864, 1.05857,3389, 
1479492043702247, 1.05854, 1.05868, 1.05861,3389, 
1479492047286305, 1.05849, 1.05865, 1.05857,3389, 
1479492047432057, 1.05848, 1.05863, 1.0585550000000001,3389, 
1479492051701908, 1.05852, 1.05866, 1.05859,3389, 
1479492056110690, 1.05849, 1.05864, 1.058565,3389, 
1479492063686879, 1.05848, 1.05863, 1.0585550000000001,3389, 
1479492065571395, 1.05861, 1.05874, 1.058675,3389, 
1479492067270256, 1.05858, 1.05871, 1.058645,3389, 
1479492070374192, 1.05861, 1.05874, 1.058675,3389, 
1479492079440402, 1.05861, 1.05872, 1.058665,3389, 
1479492083322353, 1.05857, 1.05869, 1.05863,3389, 
1479492090376216, 1.0586, 1.05873, 1.058665,3389, 
1479492094293150, 1.05857, 1.05874, 1.058655,3389, 
1479492103454513, 1.05865, 1.05877, 1.05871,3389, 
1479492117514633, 1.05882, 1.05901, 1.058915,3389, 
1479492119977825, 1.05881, 1.05896, 1.058885,3389, 
1479492124476047, 1.0588, 1.05895, 1.058875,3389, 
1479492127022899, 1.05885, 1.05899, 1.05892,3389, 
1479492128785313, 1.05882, 1.05897, 1.0588950000000001,3389, 
1479492130773428, 1.05883, 1.05899, 1.05891,3389, 
1479492144352890, 1.0588, 1.05895, 1.058875,3389, 
1479492147075162, 1.05878, 1.05895, 1.058865,3389, 
1479492149207544, 1.05879, 1.05893, 1.05886,3389, 
1479492154607168, 1.05882, 1.05897, 1.0588950000000001,3389, 
1479492162248004, 1.0588, 1.05894, 1.05887,3389, 
1479492164062481, 1.05871, 1.05887, 1.0587900000000001,3389, 
1479492165619879, 1.05869, 1.05883, 1.05876,3389, 
1479492170331258, 1.05877, 1.0589, 1.058835,3389, 
1479492172113297, 1.05881, 1.05896, 1.058885,3389, 
1479492178743657, 1.05881, 1.05895, 1.05888,3389, 
1479492181296452, 1.05882, 1.05896, 1.0588899999999999,3389, 
1479492182929566, 1.0589, 1.05905, 1.058975,3389, 
1479492185223195, 1.05888, 1.05902, 1.05895,3389, 
1479492187162938, 1.05891, 1.05906, 1.0589849999999998,3389, 
1479492188642515, 1.05886, 1.05901, 1.058935,3389, 
